review_id,trace_name,filename,event,region,Subset,primary_long_mixed,source_duration_s,reference_s,reference_grid_s,fixed_end_s,shift_s,shifted_start_s,energy_change_pct,fas_smoothed_l2_pct,psa_l2_pct
12,acNIG0140410271040,acNIG0140410271040.dat.correct.padremoved.v,2004-10-27 10:40:00,Niigata Basin,training,True,176.95000000000002,42.39200195,42.39,176.95000000000002,10,52.39,-16.504118694977564,12.337264549318919,11.142319461242717
13,acNIG0100707161013,acNIG0100707161013.dat.correct.padremoved.v,2007-07-16 10:13:00,Niigata Basin,training,False,177.91,53.11700195,53.120000000000005,177.91,-10,43.12,1.3289097134700834,2.151594169200714,1.4523064260575227
13,acNIG0100707161013,acNIG0100707161013.dat.correct.padremoved.v,2007-07-16 10:13:00,Niigata Basin,training,False,177.91,53.11700195,53.120000000000005,177.91,-5,48.120000000000005,0.47921575759788393,1.8764714640357036,1.2761059625505233
13,acNIG0100707161013,acNIG0100707161013.dat.correct.padremoved.v,2007-07-16 10:13:00,Niigata Basin,training,False,177.91,53.11700195,53.120000000000005,177.91,0,53.120000000000005,0.0,0.0,0.0
13,acNIG0100707161013,acNIG0100707161013.dat.correct.padremoved.v,2007-07-16 10:13:00,Niigata Basin,training,False,177.91,53.11700195,53.120000000000005,177.91,5,58.120000000000005,-1.95004833476502,3.436529196364647,3.4686348493635117
13,acNIG0100707161013,acNIG0100707161013.dat.correct.padremoved.v,2007-07-16 10:13:00,Niigata Basin,training,False,177.91,53.11700195,53.120000000000005,177.91,10,63.120000000000005,-3.3810751791800264,7.6023953603793535,5.098354206963003
15,acNIG0131103120359,acNIG0131103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Niigata Basin,training,True,238.95000000000002,62.40200195,62.4,238.95000000000002,-10,52.4,2.311264302877758,4.712605634203891,1.533455199357865
15,acNIG0131103120359,acNIG0131103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Niigata Basin,training,True,238.95000000000002,62.40200195,62.4,238.95000000000002,-5,57.4,0.8328194991186866,2.6897457504354447,2.133227627945076
15,acNIG0131103120359,acNIG0131103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Niigata Basin,training,True,238.95000000000002,62.40200195,62.4,238.95000000000002,0,62.4,0.0,0.0,0.0
15,acNIG0131103120359,acNIG0131103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Niigata Basin,training,True,238.95000000000002,62.40200195,62.4,238.95000000000002,5,67.4,-5.498858503645343,7.305821156647564,3.885524135304711
15,acNIG0131103120359,acNIG0131103120359.dat.correct.padremoved.v,2011-03-12 03:59:00,Niigata Basin,training,True,238.95000000000002,62.40200195,62.4,238.95000000000002,10,72.4,-7.1510958170723615,11.931252822363899,5.51280191844787
17,acCHB0141103091145,acCHB0141103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,223.91,92.36299805,92.36,223.91,-10,82.36,1.8592397488633727,2.1695323357356235,0.1692596892684846
17,acCHB0141103091145,acCHB0141103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,223.91,92.36299805,92.36,223.91,-5,87.36,0.43350156801518214,1.0870813473453012,0.07533388107494036
17,acCHB0141103091145,acCHB0141103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,223.91,92.36299805,92.36,223.91,0,92.36,0.0,0.0,0.0
17,acCHB0141103091145,acCHB0141103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,223.91,92.36299805,92.36,223.91,5,97.36,-1.2684493084923143,1.4044420890217686,1.3688089955392155
17,acCHB0141103091145,acCHB0141103091145.dat.correct.padremoved.v,2011-03-09 11:45:00,Kanto Basin,training,True,223.91,92.36299805,92.36,223.91,10,102.36,-5.181413174035443,4.603320612171773,0.6350382530429319
